display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Brian Eggert,Deep Focus Review,"It’s watchable and, at times, an enjoyable film, just not wowing or immediately satisfying in the way so many of Burroughs’ readers had hoped it would be.","| Original Score: 2.5/4
                
                |","Feb 22, 2023"
David Bax,Battleship Pretension,"John Carter is a good summer movie in March but, with the exception of that one fleeting segment, it's not a great movie at any time of year.",|,"Mar 16, 2021"
Mike Massie,Gone With The Twins,Feels heavily recycled in both its storytelling techniques and its visual effects.,"| Original Score: 4/10
                
                |","Dec 2, 2020"
Richard Propes,TheIndependentCritic.com,"The battles mostly fail to satisfy, and the film's opening scene is either a misguided mess or simply unnecessary.","| Original Score: 2.5/4.0
                
                |","Sep 12, 2020"
Julian Lytle,Ignorant Bliss,"It has the all the things you want out of the big summertime release with adventure, a cool hero, an interesting love interest, and big-time effects.","| Original Score: B
                
                |","Jan 11, 2020"
Katie Smith-Wong,Musings of Guitargalchina,"All together, John Carter is fun to watch and pretty to look at - just don't expect too much besides that.","| Original Score: 3/5
                
                |","Dec 9, 2019"
Don Shanahan,25YL (25 Years Later),This misunderstood and reverent spectacle was a victim of youthful ignorance more than bad marketing,"| Original Score: 4/5
                
                |","Nov 7, 2019"
Brian D. Johnson,Maclean's Magazine,"...unless you're still looking forward to puberty, you should avoid John Carter.",|,"Jul 31, 2019"
Leslie Combemale,Cinema Siren,"As to the best aspects of John Carter, it is first and foremost a joy to watch visually.",|,"Jul 29, 2019"
Mattie Lucas,"The Dispatch (Lexington, NC)","It's the kind of movie that reminds us why we go to the movies, a kind of filmmaking that some may call naive or outdated, but I would call timeless. John Carter is the real deal.","| Original Score: 3/4
                
                |","Jun 8, 2019"
J. Hoberman,ARTINFO.com,"For the most part, the first ""live action"" feature by Andrew Stanton, is graphically splendiferous and enjoyably nonsensical.",|,"Feb 25, 2019"
Abbie Bernstein,Assignment X,"John Carter has a sense of adventure, a sense of fun and, best of all, a sense of proportion. It's a family-friendly bet that honors its roots and its audience.",|,"Feb 6, 2019"
Daniel Green,CineVue,"An enjoyable piece of mainstream escapist cinema, its often illogical plot held together by a decent cast, some well-placed Flash Gordon-esque moments of humor and a strict mandate to never take itself too seriously.","| Original Score: 3/5
                
                |","Dec 19, 2018"
Debbie Baldwin,Ladue News,"This story is more original than Avatar, but lacks Avatar's elegance.","| Original Score: 7/10
                
                |","Nov 9, 2018"
Zaki Hasan,Zaki's Corner,"While there isn't much new terrain here, what distinguishes Carter is the quality and richness of what they extract from the soil.","| Original Score: B+
                
                |","Nov 4, 2018"
Johnny Gayzmonic,Fanboys of the Universe,Taylor Kitsch's nipples star in Cowboys & Aliens 2: Electric Boogaloo. On Mars. In 3-D. Yay?,"| Original Score: 3/10
                
                |","Oct 31, 2018"
Ali Gray,TheShiznit.co.uk,"It's such a soul-sucking, humourless mess of technobabble and gobble-de-gook, I'm pretty sure sitting through it made me a Scientologist or something.","| Original Score: 1/5
                
                |","Feb 6, 2018"
Sarah Marrs,Cinesnark,John Carter isn't completely bad-a lot of individual elements work quite well-but it's a mess and it's so science fictiony as to be alienating.,|,"Oct 23, 2017"
Neely Swanson,Easy Reader (California),"As negative-leaning as most of this article is, ""John Carter"" is still fun and offers occasional moments of glory.",|,"Sep 18, 2017"
Craig D. Lindsey,INDY Week,The movie is still one tacky sight.,"| Original Score: 2/4
                
                |","Sep 1, 2017"
Glenn Dunks,Trespass,"Even if Edgar Rice Burroughs' 11-volume series is adapted by its three screenwriters into a nonsensical mess, then it should at least be a visual feast, right? Hardly.",|,"Sep 8, 2013"
John Hanlon,John Hanlon Reviews,"This wannabe epic is forgettable, bland and way too long.","| Original Score: 0.5/5
                
                |","Jun 30, 2013"
Will Leitch,Deadspin,"They should have just let their freak flag fly and said, ""To hell with it, here's 100 minutes of John Carter punching aliens.""","| Original Score: C
                
                |","Jun 23, 2013"
Jeff Beck,Examiner.com,"""John Carter"" is certainly an interesting idea for a film, with a power struggle on an alien world and an outsider affecting the balance, but sadly it never ends up fully working.","| Original Score: 2.5/4
                
                |","Sep 16, 2012"
Justin Craig,FoxNews.com,"If Cecil B. DeMille were alive today and given the chance to direct a special effects-laden fantasy adventure on Mars, he might have made something similar to Andrew Stanton's visually stunning epic ""John Carter.""","| Original Score: 8/10
                
                |","Sep 10, 2012"
Erick Weber,NECN,"A mightily entertaining, oft-cheesy, oft-soaring spectacle packed with more pulp than Florida's finest fruit.","| Original Score: B+
                
                |","Aug 25, 2012"
William Bibbiani,CraveOnline,"One of the best sci-fi fantasy films in a long, long time.","Full Review
                
                
                    | Original Score: 9/10
                
                |","Aug 22, 2012"
Mark Pfeiffer,Reel Times: Reflections on Cinema,"Once John Carter gets past laying out the specifics of the various Martian cultures and tensions, it settles into a pleasant groove that recalls the old Saturday afternoon serials.","| Original Score: C+
                
                |","Aug 17, 2012"
Rick Marshall,Digital Trends,"The good far outweighs the bad with John Carter, and leaves you hoping for a return to Barsoom in the future.",|,"Jul 25, 2012"
Richard Knight,Knight at the Movies,It's one of those big-screen enterprises that doesn't leave much residue (not to mention pleasure) once its moved on to conquer its next audience.,|,"Jul 15, 2012"
James O'Ehley,Sci-Fi Movie Page,Not as bad as you've been lead to believe . . .,|,"Jul 9, 2012"
R.L. Shaffer,IGN DVD,"John Carter is a visual delight at times, but the classic story is tiresome and the characters are largely unmemorable, leaving a cold, only occasionally thrilling experience.","| Original Score: 6/10
                
                |","Jun 7, 2012"
Peter Canavese,Groucho Reviews,"An undeniable disaster...of marketing. Join me on a tour of media headaches, and why they don't necessarily reflect the quality of the movie itself. [Blu-ray 3D]","| Original Score: 2.5/4
                
                |","Jun 1, 2012"
Jeffrey Lyles,Lyles' Movie Files,Under Stanton's care 'John Carter' is the kind of tremendous fun-filled film that's worth going to the theater to see.,"| Original Score: 8/10
                
                |","May 23, 2012"
Blake Howard,2UE That Movie Show,"John Carter is for fans of pure, joyous, escapist, adventure cinema. Seeing John Carter unfamiliar with the text; it's very clear that the original text has influenced a hell of a lot of Sci-fi flicks that we've seen before.","| Original Score: 4/5
                
                |","Apr 26, 2012"
Linda Cook,"Quad City Times (Davenport, IA)","OK, they botched the title. But not the movie itself.","| Original Score: 3/4
                
                |","Apr 21, 2012"
Rob Humanick,Projection Booth,"Ambitious and often unwieldy, but savory in its construction and earnestness. John Carter is sadly undeserving of its flop status.","Full Review
                
                
                |","Apr 20, 2012"
Bruce Bennett,"Spectrum (St. George, Utah)","Nothing here as inspired as the Lightsaber, but there's no Jar Jar Binks either.","| Original Score: B
                
                |","Apr 16, 2012"
Matt Singer,ScreenCrush,"Isn't the disaster some industry observers predicted, but it's not the high-gloss masterpiece some of us hoped for either.","| Original Score: 5/10
                
                |","Apr 5, 2012"
Jeff Bayer,The Scorecard Review,"I understand John Carter likes being on Mars (superpowers + hot, intelligent princess). I just don't want to be there with him.","| Original Score: 5/10
                
                |","Apr 1, 2012"
Paul Chambers,CNNRadio,"The film is far from perfect. Sometimes it's silly. But, the action and the atmosphere make this a world worth exploring. Paul Chambers, CNN.","| Original Score: B-
                
                |","Mar 29, 2012"
Kevin A. Ranson,MovieCrypt.com,John Carter is an instant classic... Disney should be ashamed of themselves for treating Mars like a red-headed step planet.,"| Original Score: 3.5/4.0
                
                |","Mar 28, 2012"
