display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Mike Massie,Gone With The Twins,"An epic finale, this overlong, overstuffed film manages to neatly resolve all the loose ends from the previous entry, even if it takes considerable time to do so.","| Original Score: 5/10
                
                |","Nov 27, 2020"
Joanne Laurier,World Socialist Web Site,"Pirates of the Caribbean: At World's End is marginally more coherent than last year's sequel-a very small mercy. It is, however, just as bloated, requiring a level of familiarity with both its predecessors.",|,"Sep 2, 2020"
Micheal Compton,Bowling Green Daily News,"At World's End is nearly three hours long, so it does feel a little padded, but for the most part the film moves at a reasonable pace - even if it almost stumbles to the finish while trying to tie up all the loose ends.","| Original Score: B-
                
                |","Nov 21, 2019"
Debbie Lynn Elias,Behind The Lens,"Poised to bring in enough pirate booty to break the $1 billion box office barrier, from the end of the world to your town, set sail for Pirates of the Caribbean: At World's End. Yo ho, yo ho. It's a pirates life for me!!",|,"Nov 14, 2019"
Carlos Marañón,Cinemanía (Spain),The buccaneers have charisma. [Full review in Spanish],"| Original Score: 4/5
                
                |","Jul 17, 2019"
Mattie Lucas,"The Dispatch (Lexington, NC)","Overlong (it clocks in at 168 minutes, just shy of three hours long) and too frightfully busy to retain the nimble qualities of the original.","| Original Score: 2/4
                
                |","Jun 5, 2019"
Mike Scott,Times-Picayune,"But even spectacles have their limits. Eventually there has to be substance to go with all that style, and that's where ""At World's End"" falls short.","| Original Score: 2/4
                
                |","May 30, 2019"
Rachel Wagner,rachelsreviews.net,I found it an improvement over Dead Man's Chest but just barely.,"| Original Score: C+
                
                |","Mar 12, 2019"
Namrata Joshi,Outlook,What began as a thrilling and engrossing entertainer ends up as a terribly tedious franchisee -- the convoluted plot leaves you more confused than involved.,"| Original Score: 2/4
                
                |","Jan 25, 2019"
Megan Basham,WORLD,"A pirate's appeal is based in large part on his status as a renegade. But Verbinski gives us pirate codes, law books, and congresses-hardly the stuff of swashbuckling lore.",|,"Oct 16, 2018"
Jeffrey Overstreet,Looking Closer,"The movie ends up like Davy Jones himself -- many-tentacled, full of bluster, and devoid of a beating heart.","| Original Score: C+
                
                |","Dec 8, 2015"
Kevin Carr,Fat Guys at the Movies,"As epic summer movies go, At World's End was pretty good. But don't try to make sense of anything, or you may suffer an aneurysm.","| Original Score: 3.5/5
                
                |","Apr 28, 2014"
Ali Gray,TheShiznit.co.uk,Just how much are you willing to forgive Johnny Depp and that sea-dog swagger of his?,"| Original Score: 3/5
                
                |","Nov 3, 2012"
Jeffrey Lyles,Lyles' Movie Files,"While it fails in matching the unpredictable excitement of the original, this is more of what I'd want in Pirates sequels. Just a little less of it.","| Original Score: 5/10
                
                |","Aug 16, 2012"
Hank Sartin,Time Out,,"| Original Score: 2/5
                
                |","Nov 18, 2011"
Joshua Rothkopf,Time Out,,"Full Review
                
                
                    | Original Score: 1/5
                
                |","Nov 17, 2011"
